station,state,area,lat,lon,match,query_used,precision
MMCC005,Pahang,Pantai Muhibbah Balok A,3.921659,103.370889,Google Maps: Pantai Balok,"Pantai Muhibbah Balok A, Malaysia",geocoded
MMCC006,Pahang,Pantai Muhibbah Balok B,3.921659,103.370889,Google Maps: Pantai Balok,"Pantai Muhibbah Balok B, Malaysia",geocoded
MMCC007,Pahang,Pantai Batu Hitam A,3.8892058,103.3663122,"Jalan Pantai Batu Hitam, Taman Batu Hitam, Kampung Sungai Karang Darat, Kuantan, Pahang, 26100, Malaysia","Pantai Batu Hitam A, Pahang, Malaysia",geocoded
MMCC008,Pahang,Pantai Batu Hitam B,3.8892058,103.3663122,"Jalan Pantai Batu Hitam, Taman Batu Hitam, Kampung Sungai Karang Darat, Kuantan, Pahang, 26100, Malaysia","Pantai Batu Hitam B, Pahang, Malaysia",geocoded
MMCC009,Pahang,Pantai Berserah A,3.8740531,103.3670072,Google Maps: Beserah Beach,"Pantai Berserah A, Malaysia",geocoded
MMCC010,Pahang,Pantai Berserah B,3.8740531,103.3670072,Google Maps: Beserah Beach,"Pantai Berserah B, Malaysia",geocoded
MMCC011,Pahang,Pantai Teluk Cempedak A,3.8047225,103.3673566,"Pantai Teluk Sisek, Teluk Cempedak, Kuantan, Pahang, Malaysia",Pantai Teluk Cempedak,geocoded
MMCC012,Pahang,Pantai Teluk Cempedak B,3.8047225,103.3673566,"Pantai Teluk Sisek, Teluk Cempedak, Kuantan, Pahang, Malaysia",Pantai Teluk Cempedak,geocoded
MMCC013,Pahang,Pantai Teluk Gelora A,3.8069267,103.3466838,Google Maps: Pantai Gelora Kuantan,"Pantai Teluk Gelora A, Malaysia",geocoded
MMCC014,Pahang,Pantai Teluk Gelora B,3.8069267,103.3466838,Google Maps: Pantai Gelora Kuantan,"Pantai Teluk Gelora B, Malaysia",geocoded
MMCC015,Pahang,Pantai Sepat A,3.7394424,103.3161286,"Jalan Pantai Sepat, Kuantan, Pahang, 26060, Malaysia","Pantai Sepat A, Pahang, Malaysia",geocoded
MMCC016,Pahang,Pantai Sepat B,3.7394424,103.3161286,"Jalan Pantai Sepat, Kuantan, Pahang, 26060, Malaysia","Pantai Sepat B, Pahang, Malaysia",geocoded
MMCC017,Pahang,Pantai Legenda A,3.5622486,103.432897,Google Maps: Pantai Lagenda,"Pantai Legenda A, Malaysia",geocoded
MMCC018,Pahang,Pantai Legenda B,3.5622486,103.432897,Google Maps: Pantai Lagenda,"Pantai Legenda B, Malaysia",geocoded
MMCC019,Pahang,Pantai Kuala Api-Api,3.931782,103.365744,Google Maps: Kuala Api-Api area (Kuantan),"Pantai Kuala Api-Api, Malaysia",geocoded
MMCC020,Pahang,Pantai Tanjung Batu,3.206249,103.4465495,Google Maps: Pantai Tanjung Batu (Pahang),"Pantai Tanjung Batu, Malaysia",geocoded
MMCC021,Pahang,Pantai Chendor,4.1768043,103.423273,"Pantai Chendor, Cendur, Kuantan, Pahang, Malaysia","Pantai Chendor, Pahang, Malaysia",geocoded
MMCC022,Pahang,Pantai Lanjut,2.8424532,103.4667537,Google Maps: Pantai Lanjut,"Pantai Lanjut, Malaysia",geocoded
MMTC001,Terengganu,Pantai Batu Buruk,5.3125143,103.1611589,"Pantai Batu Buruk, Batu Buruk, Kuala Terengganu, Terengganu, Malaysia","Pantai Batu Buruk, Terengganu, Malaysia",geocoded
MMTC002,Terengganu,Pantai Bukit Keluang,5.8016581,102.6046306,"Pantai Bukit Keluang, Besut, Terengganu, Malaysia","Pantai Bukit Keluang, Terengganu, Malaysia",geocoded
MMTC003,Terengganu,Pantai Chendering,5.2718504,103.1826955,Google Maps: substitute: Pantai Pandak (nearby),"Pantai Chendering, Malaysia",geocoded
MMTC004,Terengganu,Pantai Rantau Abang,4.864542,103.3932989,Google Maps: Rantau Abang,"Pantai Rantau Abang, Malaysia",geocoded
MMTC005,Terengganu,KIPC Utara,4.2452042,103.4430478,Google Maps: Kemaman industrial coast area,"KIPC Utara, Malaysia",geocoded
MMTC006,Terengganu,KIPC Tengah,4.2452042,103.4430478,Google Maps: Kemaman industrial coast area,"KIPC Tengah, Malaysia",geocoded
MMTC007,Terengganu,KIPC Selatan,4.2452042,103.4430478,Google Maps: Kemaman industrial coast area,"KIPC Selatan, Malaysia",geocoded
MMTC008,Terengganu,Pantai Rhu 10,4.9069665769886734,102.96076899300763,"Jalan Persisiran Pantai Kelantan, Kampung Dalam Rhu, Kampung Telaga Papan, ڤاسير ڤوتيه / Pasir Puteh, Kelantan, 16700, Malaysia","Pantai Rhu 10, Terengganu, Malaysia",state_approx
MMTC009,Terengganu,Pantai Tok Jembal,5.4029853,103.098949,"Jalan Pantai Tok Jembal, Kampung Kubang Badak, Gong Badak, Kuala Nerus, Terengganu, 21030, Malaysia","Pantai Tok Jembal, Terengganu, Malaysia",geocoded
MMTC010,Terengganu,Pantai Kelulut,5.1667649,103.2325902,"Pantai Peranginan Kelulut, Jalan Kuantan-Kuala Terengganu, Kampung Kelulut, Marang, Terengganu, 21600, Malaysia","Pantai Kelulut, Terengganu, Malaysia",geocoded
MMTC011,Terengganu,Pantai Teluk Ketapang,5.378119,103.1188773,"Taman Rekreasi Pantai Teluk Ketapang, Kuala Nerus, Terengganu, 21300, Malaysia","Pantai Teluk Ketapang, Terengganu, Malaysia",geocoded
MMTC012,Terengganu,Pantai Kuala Abang,4.864542,103.3932989,Google Maps: weak match: same as Rantau Abang area,"Pantai Kuala Abang, Malaysia",geocoded
MMTC013,Terengganu,Pantai Teluk Kalong,4.2848055,103.4773483,Google Maps: Pantai Teluk Kalong,"Pantai Teluk Kalong, Malaysia",geocoded
MMTC014,Terengganu,Pantai Sura,4.7703598,103.4218135,"Jalan Pantai Sura, Kuala Dungun, Kampung Teluk Lipat, Dungun, Terengganu, 23000, Malaysia","Pantai Sura, Terengganu, Malaysia",geocoded
MMTC015,Terengganu,Pantai Tanjung Bidara,4.879493340557429,103.03701382587082,"Pantai Pengkalan Balak, Pengkalan Balak, Alor Gajah, Melaka, Malaysia","Pantai Tanjung Bidara, Malaysia",state_approx
MMTC016,Terengganu,Pantai Kemasik,4.4160546,103.4567814,"Pantai Kemasik, Kemasik, Kemaman, Terengganu, Malaysia","Pantai Kemasik, Terengganu, Malaysia",geocoded
MMDC001,Kelantan,Pantai Seri Tujuh,6.2197786,102.1294642,Google Maps: Pantai Sri Tujuh Tumpat,"Pantai Seri Tujuh, Malaysia",geocoded
MMDC002,Kelantan,Pantai Cahaya Bulan,6.193524,102.279373,"Pantai Cahaya Bulan, Kampung Semut Api, Kampung Badang, Kota Bharu, Kelantan, 15350, Malaysia","Pantai Cahaya Bulan, Kelantan, Malaysia",geocoded
MMDC003,Kelantan,Pantai Sabak,6.1755955,102.319861,"Jalan Pantai Sabak, Sabak, Kampung Tebing Tinggi, Kampung Sabak, Kota Bharu, Kelantan, 16100, Malaysia","Pantai Sabak, Kelantan, Malaysia",geocoded
MMDC004,Kelantan,Pantai Irama Bachok,6.0778022,102.3952405,"Pantai Irama, Kampung Kubang Kawah, Kampung Perupok, باچوق / Bachok, Kelantan, Malaysia","Pantai Irama Bachok, Kelantan, Malaysia",geocoded
MMDC005,Kelantan,Pantai Bisikan Bayu,5.864754,102.5143985,"Pantai Bisikan Bayu, ڤاسير ڤوتيه / Pasir Puteh, Kelantan, 16700, Malaysia","Pantai Bisikan Bayu, Kelantan, Malaysia",geocoded
MMDC006,Kelantan,Pantai Melawi,6.0173125,102.4096069,"Jalan Persisiran Pantai Kelantan, Melawi, Kampung Repek, باچوق / Bachok, Kelantan, 16310, Malaysia","Pantai Melawi, Kelantan, Malaysia",geocoded
MMQC001,Sarawak,Pantai Sematan,1.8859177,109.7201924,Google Maps: Sematan area,"Pantai Sematan, Malaysia",geocoded
MMQC002,Sarawak,Pantai Pandan,1.763055,109.8665798,"Pantai Pandan, Kampung Bajo, Lundu, Bahagian Kuching, Sarawak, Malaysia","Pantai Pandan, Sarawak, Malaysia",geocoded
